COD_DEP,COD_MUN,DEPARTAMENTO,MUNICIPIO,AÑO,DELITO,CRIMINALIDAD,ES_ARCHIVO,ES_PRECLUSIÓN,ESTADO,ETAPA_CASO,LEY,TOTAL_PROCESOS,TRANSHUMANTES,IDC_TOTAL,MUJERES_DIVIPOLE,HOMBRES_DIVIPOLE,TOTAL_DIVIPOLE
03,013,ATLANTICO,GALAPA,2011,CORRUPCION DE SUFRAGANTE ART. 390 C.P.,SI,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,0.0,4377.0,15241.0,15255.0,30496.0
03,019,ATLANTICO,LURUACO,2011,"OCULTAMIENTO, RETENCION Y POSESION ILICITA DE CEDULA ART. 395 C.P.",NO,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,0.0,2419.0,10501.0,11179.0,21680.0
03,022,ATLANTICO,MALAMBO,2011,"OCULTAMIENTO, RETENCION Y POSESION ILICITA DE CEDULA ART. 395 C.P.",NO,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,1754.0,9031.0,32953.0,29650.0,62603.0
03,022,ATLANTICO,MALAMBO,2011,CORRUPCION DE SUFRAGANTE ART. 390 C.P.,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,1754.0,9031.0,32953.0,29650.0,62603.0
03,022,ATLANTICO,MALAMBO,2011,VOTO FRAUDULENTO ART. 391 C.P,SI,NO,NO,INACTIVO,EJECUCION DE PENAS,LEY 906,1.0,1754.0,9031.0,32953.0,29650.0,62603.0
03,022,ATLANTICO,MALAMBO,2011,VOTO FRAUDULENTO ART. 391 C.P,SI,SI,NO,INACTIVO,INDAGACION,LEY 906,2.0,1754.0,9031.0,32953.0,29650.0,62603.0
03,022,ATLANTICO,MALAMBO,2011,VOTO FRAUDULENTO ART. 391 C.P,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,1754.0,9031.0,32953.0,29650.0,62603.0
03,025,ATLANTICO,MANATI,2011,FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,140.0,437.0,5893.0,6031.0,11924.0
03,025,ATLANTICO,MANATI,2011,DELITOS CONTRA MECANISMOS DE PARTICIPACION DEMOCRATICA,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,140.0,437.0,5893.0,6031.0,11924.0
03,025,ATLANTICO,MANATI,2011,ALTERACION DE RESULTADOS ELECTORALES ART. 394  C.P.,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,140.0,437.0,5893.0,6031.0,11924.0
50,090,GUAINIA,PUERTO COLOMBIA,2011,CORRUPCION DE SUFRAGANTE ART. 390 C.P.,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,1984.0,264.0,473.0,536.0,1009.0
03,043,ATLANTICO,SABANAGRANDE,2011,FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.,SI,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,607.0,1879.0,10134.0,10026.0,20160.0
01,800,ANTIOQUIA,SABANALARGA,2011,FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.,SI,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,87.0,281.0,1200.0,1309.0,2509.0
03,800,ATLANTICO,SABANALARGA,2011,"OCULTAMIENTO, RETENCION Y POSESION ILICITA DE CEDULA ART. 395 C.P.",SI,NO,NO,INACTIVO,EJECUCION DE PENAS,LEY 906,1.0,87.0,281.0,1200.0,1309.0,2509.0
46,800,CASANARE,SABANALARGA,2011,ALTERACION DE RESULTADOS ELECTORALES ART. 394  C.P.,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,87.0,281.0,1200.0,1309.0,2509.0
03,049,ATLANTICO,SANTO TOMAS,2011,FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.,SI,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,1238.0,2885.0,11792.0,11623.0,23415.0
03,052,ATLANTICO,SOLEDAD,2011,FAVORECIMIENTO DE VOTO FRAUDULENTO ART. 392 C.P.,SI,NO,NO,INACTIVO,INDAGACION,LEY 906,1.0,8.0,36041.0,134287.0,112858.0,247145.0
03,052,ATLANTICO,SOLEDAD,2011,FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.,SI,NO,NO,INACTIVO,INDAGACION,LEY 906,1.0,8.0,36041.0,134287.0,112858.0,247145.0
03,052,ATLANTICO,SOLEDAD,2011,"OCULTAMIENTO, RETENCION Y POSESION ILICITA DE CEDULA ART. 395 C.P.",NO,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,8.0,36041.0,134287.0,112858.0,247145.0
03,052,ATLANTICO,SOLEDAD,2011,VOTO FRAUDULENTO ART. 391 C.P,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,8.0,36041.0,134287.0,112858.0,247145.0
03,052,ATLANTICO,SOLEDAD,2011,FRAUDE AL SUFRAGANTE ART. 388 C.P.,SI,NO,NO,ACTIVO,INDAGACION,LEY 906,1.0,8.0,36041.0,134287.0,112858.0,247145.0
03,052,ATLANTICO,SOLEDAD,2011,FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.,SI,NO,NO,ACTIVO,INDAGACION,LEY 906,1.0,8.0,36041.0,134287.0,112858.0,247145.0
03,052,ATLANTICO,SOLEDAD,2011,FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.,SI,SI,NO,INACTIVO,INDAGACION,LEY 906,2.0,8.0,36041.0,134287.0,112858.0,247145.0
03,052,ATLANTICO,SOLEDAD,2011,CORRUPCION DE SUFRAGANTE ART. 390 C.P.,SI,NO,NO,INACTIVO,INDAGACION,LEY 906,1.0,8.0,36041.0,134287.0,112858.0,247145.0
03,052,ATLANTICO,SOLEDAD,2011,CORRUPCION DE SUFRAGANTE ART. 390 C.P.,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,8.0,36041.0,134287.0,112858.0,247145.0
03,052,ATLANTICO,SOLEDAD,2011,FRAUDE AL SUFRAGANTE ART. 388 C.P.,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,8.0,36041.0,134287.0,112858.0,247145.0
03,052,ATLANTICO,SOLEDAD,2011,ALTERACION DE RESULTADOS ELECTORALES ART. 394  C.P.,SI,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,8.0,36041.0,134287.0,112858.0,247145.0
03,058,ATLANTICO,TUBARA,2011,FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.,SI,NO,NO,ACTIVO,INDAGACION,LEY 906,1.0,661.0,824.0,4225.0,4804.0,9029.0
05,001,BOLIVAR,CARTAGENA,2011,CORRUPCION DE SUFRAGANTE ART. 390 C.P.,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,22.0,110591.0,350739.0,303258.0,653997.0
05,001,BOLIVAR,CARTAGENA,2011,ALTERACION DE RESULTADOS ELECTORALES ART. 394  C.P.,SI,NO,NO,ACTIVO,INDAGACION,LEY 906,2.0,22.0,110591.0,350739.0,303258.0,653997.0
05,001,BOLIVAR,CARTAGENA,2011,FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,2.0,22.0,110591.0,350739.0,303258.0,653997.0
05,001,BOLIVAR,CARTAGENA,2011,VOTO FRAUDULENTO ART. 391 C.P,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,2.0,22.0,110591.0,350739.0,303258.0,653997.0
05,001,BOLIVAR,CARTAGENA,2011,ALTERACION DE RESULTADOS ELECTORALES ART. 394  C.P.,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,22.0,110591.0,350739.0,303258.0,653997.0
05,001,BOLIVAR,CARTAGENA,2011,FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.,SI,NO,NO,ACTIVO,INDAGACION,LEY 906,1.0,22.0,110591.0,350739.0,303258.0,653997.0
05,001,BOLIVAR,CARTAGENA,2011,DELITOS CONTRA MECANISMOS DE PARTICIPACION DEMOCRATICA,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,4.0,22.0,110591.0,350739.0,303258.0,653997.0
05,001,BOLIVAR,CARTAGENA,2011,ALTERACION DE RESULTADOS ELECTORALES ART. 394  C.P.,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,3.0,22.0,110591.0,350739.0,303258.0,653997.0
05,001,BOLIVAR,CARTAGENA,2011,DELITOS CONTRA MECANISMOS DE PARTICIPACION DEMOCRATICA,SI,NO,NO,INACTIVO,INDAGACION,LEY 906,1.0,22.0,110591.0,350739.0,303258.0,653997.0
