COD_DEP,COD_MUN,DEPARTAMENTO,MUNICIPIO,AÑO,DELITO,CRIMINALIDAD,ES_ARCHIVO,ES_PRECLUSIÓN,ESTADO,ETAPA_CASO,LEY,TOTAL_PROCESOS,TRANSHUMANTES,IDC_TOTAL,MUJERES_DIVIPOLE,HOMBRES_DIVIPOLE,TOTAL_DIVIPOLE
23,195,NARIÑO,SANTA BARBARA,2019,FRAUDE AL SUFRAGANTE ART. 388 C.P.,SI,NO,NO,ACTIVO,INDAGACION,LEY 906,1.0,323.0,518.0,986.0,1211.0,2197.0
27,195,SANTANDER,SANTA BARBARA,2019,FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.,SI,NO,NO,INACTIVO,INDAGACION,LEY 906,1.0,323.0,518.0,986.0,1211.0,2197.0
27,195,SANTANDER,SANTA BARBARA,2019,FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,323.0,518.0,986.0,1211.0,2197.0
27,195,SANTANDER,SANTA BARBARA,2019,CORRUPCION DE SUFRAGANTE ART. 390 C.P.,SI,NO,NO,ACTIVO,INDAGACION,LEY 906,2.0,323.0,518.0,986.0,1211.0,2197.0
27,195,SANTANDER,SANTA BARBARA,2019,CONSTREÑIMIENTO AL SUFRAGANTE ART. 387 C.P.,SI,NO,NO,ACTIVO,INDAGACION,LEY 906,1.0,323.0,518.0,986.0,1211.0,2197.0
01,250,ANTIOQUIA,SANTA ROSA DE OSOS,2019,FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,890.0,2316.0,13581.0,13604.0,27185.0
01,250,ANTIOQUIA,SANTA ROSA DE OSOS,2019,INTERVENCION EN POLITICA ART. 422 C.P.,SI,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,890.0,2316.0,13581.0,13604.0,27185.0
01,250,ANTIOQUIA,SANTA ROSA DE OSOS,2019,TRAFICO DE VOTOS ART. 390A,SI,NO,NO,ACTIVO,INDAGACION,LEY 906,1.0,890.0,2316.0,13581.0,13604.0,27185.0
01,250,ANTIOQUIA,SANTA ROSA DE OSOS,2019,CORRUPCION DE SUFRAGANTE ART. 390 C.P.,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,890.0,2316.0,13581.0,13604.0,27185.0
01,250,ANTIOQUIA,SANTA ROSA DE OSOS,2019,CORRUPCION DE SUFRAGANTE ART. 390 C.P.,SI,NO,NO,INACTIVO,INDAGACION,LEY 906,1.0,890.0,2316.0,13581.0,13604.0,27185.0
01,250,ANTIOQUIA,SANTA ROSA DE OSOS,2019,CONSTREÑIMIENTO AL SUFRAGANTE ART. 387 C.P.,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,890.0,2316.0,13581.0,13604.0,27185.0
01,250,ANTIOQUIA,SANTA ROSA DE OSOS,2019,INTERVENCION EN POLITICA ART. 422 C.P.,SI,NO,NO,ACTIVO,INDAGACION,LEY 906,1.0,890.0,2316.0,13581.0,13604.0,27185.0
01,253,ANTIOQUIA,SANTO DOMINGO,2019,FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.,SI,NO,NO,INACTIVO,INDAGACION,LEY 906,2.0,964.0,1452.0,4468.0,4881.0,9349.0
01,253,ANTIOQUIA,SANTO DOMINGO,2019,CORRUPCION DE SUFRAGANTE ART. 390 C.P.,SI,NO,NO,ACTIVO,INDAGACION,LEY 906,1.0,964.0,1452.0,4468.0,4881.0,9349.0
01,253,ANTIOQUIA,SANTO DOMINGO,2019,FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.,SI,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,964.0,1452.0,4468.0,4881.0,9349.0
24,094,RISARALDA,SANTUARIO,2019,FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.,SI,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,374.0,843.0,5686.0,6477.0,12163.0
01,262,ANTIOQUIA,SONSON,2019,CORRUPCION DE SUFRAGANTE ART. 390 C.P.,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,2.0,690.0,1829.0,13573.0,13799.0,27372.0
01,262,ANTIOQUIA,SONSON,2019,CORRUPCION DE SUFRAGANTE ART. 390 C.P.,SI,NO,NO,ACTIVO,INDAGACION,LEY 906,1.0,690.0,1829.0,13573.0,13799.0,27372.0
01,262,ANTIOQUIA,SONSON,2019,FAVORECIMIENTO DE VOTO FRAUDULENTO ART. 392 C.P.,SI,NO,NO,ACTIVO,INDAGACION,LEY 906,1.0,690.0,1829.0,13573.0,13799.0,27372.0
01,265,ANTIOQUIA,SOPETRAN,2019,CONSTREÑIMIENTO AL SUFRAGANTE ART. 387 C.P.,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,664.0,1082.0,6180.0,6381.0,12561.0
