,crime,criminality,is_file,is_preclusion,state,state_case,law,departament,municipality,year,total_processes
228,ELECCION ILICITA DE CANDIDATOS ART. 389A,NO,SI,NO,INACTIVO,INDAGACIÓN,LEY 906,BOYACA,BOAVITA,2019,1
231,CORRUPCION DE SUFRAGANTE ART. 390 C.P.,NO,SI,NO,INACTIVO,INDAGACIÓN,LEY 906,META,FUENTE DE ORO,2019,1
232,CORRUPCION DE SUFRAGANTE ART. 390 C.P.,SI,NO,NO,ACTIVO,INDAGACIÓN,LEY 906,VALLE DEL CAUCA,ROLDANILLO,2019,1
236,FRAUDE AL SUFRAGANTE ART. 388 C.P.,NO,SI,NO,INACTIVO,INDAGACIÓN,LEY 906,VALLE DEL CAUCA,PALMIRA,2019,2
241,CORRUPCION DE SUFRAGANTE ART. 390 C.P.,NO,SI,NO,INACTIVO,INDAGACIÓN,LEY 906,BOYACA,TURMEQUÉ,2019,1
245,TRAFICO DE VOTOS ART. 390A,SI,NO,NO,ACTIVO,INDAGACIÓN,LEY 906,MAGDALENA,SAN ZENÓN,2019,1
254,FRAUDE AL SUFRAGANTE ART. 388 C.P.,NO,SI,NO,INACTIVO,INDAGACIÓN,LEY 906,CASANARE,MANÍ,2019,1
258,FINANCIACION DE CAMPAÑAS ELECTORALES CON FUENTES PROHIBIDAS ART.396A,SI,NO,NO,ACTIVO,INDAGACIÓN,LEY 906,NARIÑO,OLAYA HERRERA,2019,1
259,CORRUPCION DE SUFRAGANTE ART. 390 C.P.,NO,SI,NO,INACTIVO,INDAGACIÓN,LEY 906,BOLÍVAR,SAN ESTANISLAO,2019,1
260,FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.,NO,SI,NO,INACTIVO,INDAGACIÓN,LEY 906,ANTIOQUIA,TURBO,2019,1
263,CONSTREÑIMIENTO AL SUFRAGANTE ART. 387 C.P.,NO,SI,NO,INACTIVO,INDAGACIÓN,LEY 906,META,VILLAVICENCIO,2019,1
264,ELECCION ILICITA DE CANDIDATOS ART. 389A,SI,NO,NO,INACTIVO,INDAGACIÓN,LEY 906,BOYACA,CIÉNEGA,2019,1
269,FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.,SI,NO,NO,ACTIVO,INDAGACIÓN,LEY 906,BOYACA,SANTA ROSA DE VITERBO,2019,1
273,CONSTREÑIMIENTO AL SUFRAGANTE ART. 387 C.P.,SI,SI,NO,INACTIVO,INDAGACIÓN,LEY 906,CAUCA,POPAYÁN,2019,1
276,CONSTREÑIMIENTO AL SUFRAGANTE ART. 387 C.P.,SI,NO,NO,ACTIVO,INDAGACIÓN,LEY 906,CESAR,CURUMANÍ,2019,1
282,ALTERACION DE RESULTADOS ELECTORALES ART. 394  C.P.,SI,NO,NO,ACTIVO,INDAGACIÓN,LEY 906,ARAUCA,ARAUQUITA,2019,1
283,CORRUPCION DE SUFRAGANTE ART. 390 C.P.,SI,NO,NO,ACTIVO,INDAGACIÓN,LEY 906,BOYACA,PÁEZ,2019,1
